filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,total_evaluations,elapsed_s
random_IR_0001.npz,129978747975.8128,15608.06310009775,0.002002744815953,3.988454521700274,141.5363433137631,0.8970816530297284,0.6947166521402389,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,31.258967460788078,2.9690810094502615,4.527863675961445,39.886129307318875,2.9690810094502615,4.527863675961445,3.988454521700274,0.8970816530297284,0.6947166521402389,48.93048279274982,13.78047400625313,12.31885144054203,31.258967460788078,39.886129307318875,48.93048279274982,-17.671515331961743,-9.044353485430946,3.357337236404419,2.722404718399048,-0.6349325180053711,0.04278416458845761,0.03921340195646623,-0.003570762631991381,0.0427841645884569,True,40.64263157894737,122,3.15
random_IR_0002.npz,211083986498.1612,13396.51081339304,0.0048374704622726,3.931323052750074,561.5498426959648,0.9723679684829069,0.9946722570562874,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,64.80522535730432,32.77537871595785,8.665193888299186,28.855751929899732,32.77537871595785,8.665193888299186,3.931323052750074,0.9723679684829069,0.9946722570562874,84.05551911691434,17.897192258481063,4.561838275928618,64.80522535730432,28.855751929899732,84.05551911691434,-19.250293759610017,-55.19976718701461,16.30195426940918,10.195688247680664,-6.106266021728516,0.0320437275762486,0.0735086946101051,0.041464967033856506,0.0320437275762479,True,29.724736842105266,122,0.993
random_IR_0003.npz,146306782109.1465,18231.10350859937,0.0019744184849063,2.450516803494671,998.783519713296,0.846177622598185,0.9986612008848894,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,35.9958277676187,2.780848926632867,27.74720243027128,2.720801634423349,2.780848926632867,27.74720243027128,2.450516803494671,0.846177622598185,0.9986612008848894,24.385577810725874,1.6631530041768487,0.8295146997687317,35.9958277676187,2.720801634423349,24.385577810725874,11.610249956892826,-21.664776176302524,138.33790588378906,2.966395378112793,-135.37151050567627,0.034462612599959454,0.03964588161534944,0.005183269015389985,0.0344626125999597,True,2.43,122,2.028
random_IR_0004.npz,149685707708.718,12107.06486263256,0.001108335076497,3.720616959675561,147.8207306453488,0.8480220140852487,0.9376584090646808,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,13.418684660679999,1.3499917031343742,11.016037293021677,18.050131766904087,1.3499917031343742,11.016037293021677,3.720616959675561,0.8480220140852487,0.9376584090646808,13.243645345320504,25.51222490269219,58.93629364444471,13.418684660679999,18.050131766904087,13.243645345320504,0.1750393153594949,4.806486421583584,6.175621509552002,1.9645113945007324,-4.2111101150512695,0.057127463908218094,0.057484903635746536,0.00035743972752844133,0.0571274639082181,True,18.806842105263158,122,4.318
random_IR_0005.npz,218494671535.6534,3449.742121761455,0.0037150666240852,2.240585934770071,631.5317176621477,0.5421329874982526,0.6287700220787878,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,12.816021818256845,77.70248522322134,49.27673552822062,29.406056340038873,77.70248522322134,49.27673552822062,2.240585934770071,0.5421329874982526,0.6287700220787878,45.15870974181389,5.059946047841708,5.858514737491241,12.816021818256845,29.406056340038873,45.15870974181389,-32.342687923557044,-15.752653401775014,10.877165794372559,2.869245767593384,-8.007920026779175,0.0930808008453405,0.08071921940651185,-0.01236158143882865,0.0930808008453423,True,29.724736842105266,122,0.417
random_IR_0006.npz,108263063201.3722,7046.695954224975,0.0013634813113157,3.942196766480504,927.5686094834484,0.6945207627134015,0.8258918268582699,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,9.608038240109707,2.538870996858701,96.54089485314718,46.17215915785489,2.538870996858701,96.54089485314718,3.942196766480504,0.6945207627134015,0.8258918268582699,69.5623792973453,8.976845948324273,8.868843098331634,9.608038240109707,46.17215915785489,69.5623792973453,-59.954341057235595,-23.39022013949041,85.8028335571289,1.86201012134552,-83.94082343578339,0.09255163222998956,0.045339226104587044,-0.04721240612540252,0.0925516322299887,True,46.101578947368424,122,3.353
random_IR_0007.npz,95376283760.96846,16760.2863124209,0.0013388748586682,1.907234207249456,724.4529360979669,0.5709278847272271,0.7914367341959831,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,22.4399259677811,0.9067475979507875,32.28410544393619,30.491244301172927,0.9067475979507875,32.28410544393619,1.907234207249456,0.5709278847272271,0.7914367341959831,18.66067257871993,0.9028050531466348,35.73129773140534,22.4399259677811,30.491244301172927,18.66067257871993,3.7792533890611715,11.830571722452998,4.606302261352539,2.3740415573120117,-2.2322607040405273,0.04070932651229101,0.042656428808439006,0.0019471022961479942,0.0407093265122911,True,29.724736842105266,122,2.69
random_IR_0008.npz,133912135540.3317,5230.12100600238,0.0019477526956119,1.695336432600871,596.4534456058177,0.6796604369992043,0.5100518350534672,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,10.186982287817559,8.634223863901587,58.550552926660764,85.26718514302058,8.634223863901587,58.550552926660764,1.695336432600871,0.6796604369992043,0.5100518350534672,68.93402206007737,3.761799410073101,6.362709070782652,10.186982287817559,85.26718514302058,68.93402206007737,-58.74703977225981,16.333163082943216,204.40036010742188,1.8183857202529907,-202.58197438716888,0.06790573697973107,0.018570508914623116,-0.049335228065107956,0.06790573697973,True,84.3142105263158,122,0.85
random_IR_0009.npz,162223735470.9861,10847.42947753086,0.0010826494364364,3.073356181729056,316.5229746819804,0.6376220577340965,0.8238302647199944,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,11.74396341063238,1.5581553244990627,26.95197214216597,14.910907258915287,1.5581553244990627,26.95197214216597,3.073356181729056,0.6376220577340965,0.8238302647199944,14.142898938783146,4.683010453498064,32.971748703501625,11.74396341063238,14.910907258915287,14.142898938783146,-2.3989355281507656,0.7680083201321413,4.241209983825684,2.027621269226074,-2.2135887145996094,0.004085720563776068,0.004005700540292047,-8.002002348402038e-05,0.004085720563776,True,13.347894736842106,122,3.34
random_IR_0010.npz,199722843287.6767,9066.853101551984,0.0026537969350825,2.601287646527193,448.4786516631219,0.7478392620747651,0.8404745991815626,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,24.061586971741914,13.789674487542602,18.638781065846498,10.47742884151101,13.789674487542602,18.638781065846498,2.601287646527193,0.7478392620747651,0.8404745991815626,31.91219093779357,1.2996567710331561,11.55456496634862,24.061586971741914,10.47742884151101,31.91219093779357,-7.850603966051658,-21.43476209628256,30.038471221923828,2.512808084487915,-27.525663137435913,0.10211442511076314,0.1082776372837657,0.006163212173002558,0.102114425110763,True,13.347894736842106,122,1.012
