file,family,frames,n_tonal_mean,frac_energy_safe_80,frac_bins_safe_80,frac_energy_masked_80,frac_energy_smasked_80,frac_bins_masked_80,frac_total_energy_80,frac_energy_safe_70,frac_bins_safe_70,frac_energy_masked_70,frac_energy_smasked_70,frac_bins_masked_70,frac_total_energy_70,frac_energy_safe_60,frac_bins_safe_60,frac_energy_masked_60,frac_energy_smasked_60,frac_bins_masked_60,frac_total_energy_60,frac_energy_safe_40,frac_bins_safe_40,frac_energy_masked_40,frac_energy_smasked_40,frac_bins_masked_40,frac_total_energy_40,frac_energy_safe_20,frac_bins_safe_20,frac_energy_masked_20,frac_energy_smasked_20,frac_bins_masked_20,frac_total_energy_20
synth_lead_synthetic_012-083-025.wav,synth_lead,247,1.9959514170040487,1.0,1.0,0.9983999133110046,0.7662376761436462,0.9999756513270027,2.2691222056892002e-07,1.0,1.0,0.9922178387641907,0.9415384531021118,0.9999115243549321,1.2418515780154848e-06,0.9961428,0.9999120492524186,0.9906936287879944,0.9788553714752197,0.9998640761173743,7.958599780977238e-06,0.947229,0.9993327614145459,0.9179021716117859,0.9128206968307495,0.9996266641248054,0.0003043790638912469,0.25487038,0.9910374968330378,0.096420519053936,0.0962209403514862,0.9971893210032936,0.031870100647211075
mallet_acoustic_053-025-025.wav,mallet,247,0.2550607287449393,0.99999994,1.0,0.993735134601593,0.43722543120384216,0.9999839766700316,3.683964564515918e-07,0.9008547,0.9987564072925552,0.7813112735748291,0.472224622964859,0.9988600400181756,3.2952987112366827e-06,0.82120776,0.9959258553321262,0.7026150226593018,0.4774799048900604,0.9978001207153976,2.3336710000876337e-05,0.84454244,0.9922016498335139,0.6160984039306641,0.4312538206577301,0.9964092789294273,0.0009851007489487529,0.98811686,0.9915359957048336,0.40831413865089417,0.22766773402690887,0.9955232365341797,0.04123630374670029
organ_electronic_095-024-025.wav,organ,247,5.3076923076923075,0.99742,0.9996013553916683,0.9111459255218506,0.7894377708435059,0.9910115132359502,1.67992595834221e-07,0.89030844,0.9572099449929602,0.6694303750991821,0.6125940084457397,0.9673368372263859,9.679714594312827e-07,0.4001993,0.7653099467806012,0.41726985573768616,0.4051555097103119,0.9398262665633927,6.8736212597286794e-06,0.78178006,0.7328696860283843,0.788735568523407,0.7865011096000671,0.929007035484366,0.00011744166840799153,0.9836992,0.7357069852119199,0.9740906357765198,0.9740447998046875,0.9297087099556038,0.005733708385378122
bass_synthetic_091-021-050.wav,bass,247,0.18218623481781376,0.9788966,0.9961816720257235,0.9994208216667175,0.9591497778892517,0.9999425815342214,1.1522967469090872e-07,0.86891997,0.9269914417379855,0.9783321619033813,0.9612271785736084,0.995523370638578,2.724311116253375e-06,0.57958704,0.6010594467333725,0.9591066241264343,0.9543655514717102,0.9841671571512655,4.9257268983637914e-05,0.427529,0.3503248988522441,0.8747270703315735,0.8739492297172546,0.9607575000235775,0.003603570628911257,0.24848838,0.25512700207726796,0.47833237051963806,0.4762331545352936,0.9025769351074324,0.13119982182979584
synth_lead_synthetic_008-038-100.wav,synth_lead,247,4.0,1.0,1.0,0.9901297688484192,0.9293028116226196,0.9965798700925447,3.088838980147557e-07,0.97108555,0.9629465986135446,0.9090235829353333,0.8917877078056335,0.960097508951017,4.680574420490302e-06,0.79705304,0.7641084656380233,0.8105084896087646,0.8057267665863037,0.9246282247522429,3.734899655682966e-05,0.66384155,0.25594228246611284,0.6504380702972412,0.6498961448669434,0.8632181897682554,0.001373547245748341,0.53281343,0.1620759897263307,0.4890581965446472,0.48376715183258057,0.8339224321865364,0.0579872764647007
bass_synthetic_118-046-025.wav,bass,247,0.06072874493927125,1.0,1.0,1.0,0.6453729867935181,1.0,5.465252570502344e-07,1.0000001,1.0,0.9823909997940063,0.7682698369026184,0.9997411986675906,4.0323325265489984e-06,0.9383655,0.994858190869195,0.8342548608779907,0.7428804039955139,0.9967085871487522,3.2261541491607204e-05,0.588133,0.9376381496524813,0.548737108707428,0.5396360158920288,0.9875834882737378,0.0017832861049100757,0.33588815,0.9086667721018504,0.2793320119380951,0.27900299429893494,0.9817570773367073,0.04932621493935585
mallet_acoustic_048-093-075.wav,mallet,247,0.9878542510121457,1.0,1.0,0.9543622732162476,0.7838290333747864,0.9998886874662087,3.311164107344666e-07,0.8770868,0.9980726828571882,0.8233209252357483,0.7836814522743225,0.9995320505702638,2.4293128717545187e-06,0.5702715,0.994879019811149,0.7818934321403503,0.7643117308616638,0.9990739494867147,1.758818507369142e-05,0.69133604,0.9922115058018752,0.6354351043701172,0.6349694132804871,0.9985070736273371,0.0006640631472691894,0.13394557,0.9881265345112064,0.04057084769010544,0.040561068803071976,0.9980342467375601,0.0316285640001297
guitar_synthetic_008-054-025.wav,guitar,247,0.044534412955465584,1.0,1.0,0.988579273223877,0.6831427812576294,0.999910319750852,2.7688074055731704e-07,0.8469516,0.9965197309453251,0.7032762765884399,0.5442129969596863,0.9980620311528492,2.3741381482977886e-06,0.72741026,0.9869049527167816,0.6584793329238892,0.6257201433181763,0.9953838756210931,1.6697575119906105e-05,0.7166896,0.9750160764046014,0.5994166731834412,0.598839282989502,0.9917990489119648,0.0009473793325014412,0.50412446,0.9652147108339459,0.48476409912109375,0.48475000262260437,0.9898276148246509,0.03886578232049942
bass_synthetic_123-092-127.wav,bass,247,0.0728744939271255,1.0,1.0,1.0,0.4155256748199463,1.0,4.7485934828728205e-07,1.0000001,1.0,0.9908842444419861,0.6561112999916077,0.9999841414581929,4.528957560978597e-06,1.0000001,1.0,0.8762301206588745,0.7770132422447205,0.9997705024413792,5.13012710143812e-05,0.49687472,0.9956406024182021,0.4887517988681793,0.47426727414131165,0.9991154845486208,0.0019762562587857246,0.16562186,0.9944278701204401,0.2757857143878937,0.12601570785045624,0.9987056242206122,0.039211489260196686
organ_electronic_004-081-127.wav,organ,247,5.348178137651822,1.0,1.0,0.9999402165412903,0.9661238193511963,0.9999866211786742,1.5156111032865738e-07,0.9971522,0.9989991421218187,0.9825574159622192,0.9554465413093567,0.9969974263654561,1.5905000054772245e-06,0.95770204,0.9867358170251666,0.9097809195518494,0.8684679865837097,0.9859149674458519,1.5271112715709023e-05,0.65667564,0.8085620845389048,0.5372315645217896,0.5323202013969421,0.9466652459365753,0.0003868553612846881,0.6233707,0.7534818269540045,0.3364694118499756,0.33625489473342896,0.9391926664522354,0.008855940774083138
