filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,total_evaluations,elapsed_s
random_IR_0001.npz,89529585927.1411,17251.87353022717,0.0017925385882938,3.875352487244202,977.8524650553384,0.7002351942667627,0.722505302438454,30.92464902329659,1.4822273235103887,31.620487085195013,23.502577745924114,1.4822273235103887,31.620487085195013,3.875352487244202,0.7002351942667627,0.722505302438454,,,,,,,30.92464902329659,23.502577745924114,,,,1.2256704096103022e-08,5.458478721104276e-13,-1.2256158248230911e-08,,,,,True,24.26578947368421,122,1.739
random_IR_0002.npz,138083419443.4472,21215.93658811961,0.0021690348693252,2.771899876084874,295.6708244049185,0.5149303482218913,0.5432624690771194,46.01810624502375,2.721822937249748,6.425097608984972,24.282483062476928,2.721822937249748,6.425097608984972,2.771899876084874,0.5149303482218913,0.5432624690771194,,,,,,,46.01810624502375,24.282483062476928,,,,5.4289404971541444e-08,8.203602185584413e-13,-5.4288584611322886e-08,,,,,True,24.26578947368421,122,0.966
random_IR_0003.npz,97493301666.63943,15478.98289257763,0.0043246416167249,1.715976414649815,999.8904111591336,0.9518546110697576,0.9781996704524472,66.94105360181399,10.470805251420039,14.936878901052108,33.15554611331701,10.470805251420039,14.936878901052108,1.715976414649815,0.9518546110697576,0.9781996704524472,,,,,,,66.94105360181399,33.15554611331701,,,,1.0341865142038387e-08,5.198668644006144e-13,-1.0341345275173986e-08,,,,,True,35.183684210526316,122,0.373
random_IR_0004.npz,100238606168.2034,7335.335792111944,0.0040734550288184,2.912867877493589,997.8089569759738,0.9043007115091396,0.8640615845924413,29.88016047045,20.155257419116257,33.39369472137734,23.684794386559062,20.155257419116257,33.39369472137734,2.912867877493589,0.9043007115091396,0.8640615845924413,,,,,,,29.88016047045,23.684794386559062,,,,4.853069945909283e-09,3.7583656889786377e-13,-4.852694109340385e-09,,,,,True,24.26578947368421,122,0.433
random_IR_0005.npz,88382303583.90973,16659.29939833532,0.0016956192583127,1.554030311783885,697.4013179651812,0.6979744913771164,0.7438597157827909,28.247828889814542,1.3558534233665693,24.688669726990828,25.937640120593905,1.3558534233665693,24.688669726990828,1.554030311783885,0.6979744913771164,0.7438597157827909,,,,,,,28.247828889814542,25.937640120593905,,,,1.8368586651718033e-08,2.054353865840741e-12,-1.8366532297852192e-08,,,,,True,24.26578947368421,122,0.789
random_IR_0006.npz,104584278541.0739,18141.62930421974,0.0038403556850996,1.814653248889541,130.4323880930284,0.771296456793171,0.529747850605727,69.67030923542978,7.557540671298302,1.8721373498181488,85.41329572096495,7.557540671298302,1.8721373498181488,1.814653248889541,0.771296456793171,0.529747850605727,,,,,,,69.67030923542978,85.41329572096495,,,,9.055564298421359e-09,3.277436102459147e-13,-9.055236554811113e-09,,,,,True,84.3142105263158,122,0.439
random_IR_0007.npz,103615149265.59,11826.09939862301,0.0046767785118835,3.828338972768618,911.5678825471716,0.603344297803745,0.9612533342513374,55.30804754687848,17.03424207584418,16.481650012586993,22.290829613736257,17.03424207584418,16.481650012586993,3.828338972768618,0.603344297803745,0.9612533342513374,,,,,,,55.30804754687848,22.290829613736257,,,,1.4434764494808405e-08,3.019094306153103e-13,-1.443446258537779e-08,,,,,True,24.26578947368421,122,0.58
random_IR_0008.npz,183014303618.3551,2709.753197730917,0.0043881965288989,2.648879496366069,538.2947733743146,0.6710362494577005,0.6250714825390307,11.890929576455504,115.60454610397113,45.26936013818119,16.786383613344924,115.60454610397113,45.26936013818119,2.648879496366069,0.6710362494577005,0.6250714825390307,,,,,,,11.890929576455504,16.786383613344924,,,,1.6563632243560278e-08,4.1365622407453506e-13,-1.6563218587336203e-08,,,,,True,18.806842105263158,122,0.228
random_IR_0009.npz,111747987955.4525,9679.946273036585,0.0012883419411761,2.074797646479334,663.0497666969821,0.692441791703979,0.572713084543777,12.47108077188431,1.7032426890276011,53.16698518959228,13.38875527609833,1.7032426890276011,53.16698518959228,2.074797646479334,0.692441791703979,0.572713084543777,,,,,,,12.47108077188431,13.38875527609833,,,,2.1105577729940705e-08,2.3604360653572964e-12,-2.1103217293875348e-08,,,,,True,13.347894736842106,122,0.917
random_IR_0010.npz,133294660209.5845,2459.215647393394,0.002312492989177,2.100145999401507,893.8934942572762,0.7329923476202267,0.7343224177170855,5.686918943471602,25.764662952564546,157.18414542965078,6.022624202795139,25.764662952564546,157.18414542965078,2.100145999401507,0.7329923476202267,0.7343224177170855,,,,,,,5.686918943471602,6.022624202795139,,,,1.2830782658568296e-08,2.323632388931407e-12,-1.2828459026179365e-08,,,,,True,7.888947368421054,122,0.313
